nome_arquivo,seed,tempo_total,solucao_encontrada
01.txt,0,301.0394132,26.0
01.txt,1,300.1009893,26.0
01.txt,2,300.2791593,26.0
01.txt,3,300.1660241,26.0
01.txt,4,300.0771069,26.0
01.txt,5,300.1081478,26.0
01.txt,6,300.1051818,26.0
01.txt,7,300.1138101,26.0
01.txt,8,300.0896684,26.0
01.txt,9,300.1030167,26.0
02.txt,0,0.2103285,26.0
02.txt,1,0.2975832,26.0
02.txt,2,0.1682623,26.0
02.txt,3,0.323648,26.0
02.txt,4,0.2759962,26.0
02.txt,5,0.1970404,26.0
02.txt,6,0.1609249,26.0
02.txt,7,0.27859,26.0
02.txt,8,0.2422621,26.0
02.txt,9,0.301457,26.0
03.txt,0,303.1983406,51.0
03.txt,1,300.2372999,51.0
03.txt,2,300.563751,51.0
03.txt,3,300.2340581,51.0
03.txt,4,300.4058661,51.0
03.txt,5,300.233118,51.0
03.txt,6,300.4200156,51.0
03.txt,7,300.2224715,51.0
03.txt,8,300.4440593,51.0
03.txt,9,301.42431,51.0
04.txt,0,2.7965065,51.0
04.txt,1,4.6808233,51.0
04.txt,2,9.0612907,51.0
04.txt,3,0.7885658,51.0
04.txt,4,3.2831414,51.0
04.txt,5,4.1344187,51.0
04.txt,6,3.2359437,51.0
04.txt,7,4.1781253,51.0
04.txt,8,3.6430225,51.0
04.txt,9,4.4416895,51.0
05.txt,0,301.01571,102.0
05.txt,1,NaN,NaN
05.txt,2,301.2474741,102.0
05.txt,3,301.2561827,102.0
05.txt,4,301.0223864,102.0
05.txt,5,301.2125531,102.0
05.txt,6,301.232067,102.0
05.txt,7,301.2395891,102.0
05.txt,8,NaN,NaN
05.txt,9,301.1760192,102.0
06.txt,0,229.8224985,101.0
06.txt,1,24.8780863,101.0
06.txt,2,239.6622695,101.0
06.txt,3,285.4763179,101.0
06.txt,4,179.4807766,101.0
06.txt,5,133.8655014,101.0
06.txt,6,77.5807503,101.0
06.txt,7,260.6881217,101.0
06.txt,8,150.0485577,101.0
06.txt,9,228.0917106,101.0
07.txt,0,305.0614598,204.0
07.txt,1,305.073511,204.0
07.txt,2,304.6886968,204.0
07.txt,3,304.9395361,204.0
07.txt,4,304.7712899,204.0
07.txt,5,305.0706829,204.0
07.txt,6,304.6904033,204.0
07.txt,7,304.8757283,204.0
07.txt,8,305.6054177,204.0
07.txt,9,304.7976876,204.0
08.txt,0,301.595976,201.0
08.txt,1,301.681943,201.0
08.txt,2,301.5337927,201.0
08.txt,3,301.5931841,201.0
08.txt,4,301.3123695,201.0
08.txt,5,301.5468126,201.0
08.txt,6,301.5769141,201.0
08.txt,7,301.56708,201.0
08.txt,8,301.562609,201.0
08.txt,9,301.3811189,201.0
